timestamp,phase,energy
2026-05-11T22:07:53.110096+00:00,dataset,Measurement(time=1.8381450176239014, gpu_energy={0: 166.0109999999986}, cpu_energy=None, dram_energy=None, soc_energy=None)
2026-05-11T22:08:15.555261+00:00,load_model,Measurement(time=31.94666337966919, gpu_energy={0: 2523.3629999999976}, cpu_energy=None, dram_energy=None, soc_energy=None)
2026-05-11T23:48:13.714126+00:00,fine_tuning,Measurement(time=5998.15611243248, gpu_energy={0: 1346066.383}, cpu_energy=None, dram_energy=None, soc_energy=None)
