timestamp,cpu_w,ram_w,cpu_e,ram_e,gpu_e,gpus,phase
2026-05-11T22:07:51.850462+00:00,0.0,0.0,0.00010026753415555337,2.9057293147221548e-05,0.00019401265521000466,0.0,dataset
2026-05-11T22:07:51.850544+00:00,42.5,12.5,0.00010026753415555337,2.9057293147221548e-05,0.00019401265521000466,0.0,dataset
2026-05-11T22:08:00.602591+00:00,0.0,0.0,0.00020277593529375017,4.782514955277608e-05,0.00038627808680000153,0.0,idle
2026-05-11T22:08:00.602678+00:00,42.5,11.25,0.00020277593529375017,4.782514955277608e-05,0.00038627808680000153,0.0,idle
2026-05-11T22:08:07.898039+00:00,0.0,0.0,0.0002886189501590239,6.797455094444254e-05,0.0005436915460639985,0.0,idle
2026-05-11T22:08:07.898119+00:00,42.5,10.833333333333334,0.0002886189501590239,6.797455094444254e-05,0.0005436915460639985,0.0,idle
2026-05-11T22:08:15.957800+00:00,0.0,0.0,0.00038299749032568873,8.498140497777563e-05,0.0007158547393500067,0.0,fine_tuning
2026-05-11T22:08:15.957884+00:00,42.5,10.625,0.00038299749032568873,8.498140497777563e-05,0.0007158547393500067,0.0,fine_tuning
2026-05-11T22:08:23.972325+00:00,0.0,0.0,0.0004772600429749937,0.00010699476788055335,0.001132339516982002,0.0,fine_tuning
2026-05-11T22:08:23.972531+00:00,42.5,10.5,0.0004772600429749937,0.00010699476788055335,0.001132339516982002,0.0,fine_tuning
2026-05-11T22:08:31.974738+00:00,0.0,0.0,0.0005713965934541565,0.00012904241318055306,0.0016107168441280018,0.0,fine_tuning
2026-05-11T22:08:31.974975+00:00,42.5,10.416666666666666,0.0005713965934541565,0.00012904241318055306,0.0016107168441280018,0.0,fine_tuning
2026-05-11T22:08:40.000746+00:00,0.0,0.0,0.0006657859395055472,0.00015109671729166446,0.002052583864287999,0.0,fine_tuning
