phase,energy
dataset,"Measurement(time=1.3076860904693604, gpu_energy={0: 64.96299999999974}, cpu_energy=None, dram_energy=None, soc_energy=None)"
load_model,"Measurement(time=48.30521845817566, gpu_energy={0: 2444.5769999999975}, cpu_energy=None, dram_energy=None, soc_energy=None)"
fine_tuning,"Measurement(time=6370.696082830429, gpu_energy={0: 1105604.554}, cpu_energy=None, dram_energy=None, soc_energy=None)"
