timestamp,phase,energy
2026-05-05T16:40:49.696705+00:00,dataset,Measurement(time=1.6403534412384033, gpu_energy={0: 94.88799999999173}, cpu_energy=None, dram_energy=None)
2026-05-05T16:41:15.134872+00:00,load_model,Measurement(time=25.435103178024292, gpu_energy={0: 1503.8640000000014}, cpu_energy=None, dram_energy=None)
2026-05-05T17:51:00.704312+00:00,fine_tuning,Measurement(time=4164.664380788803, gpu_energy={0: 956995.494}, cpu_energy=None, dram_energy=None)
