timestamp,cpu_w,ram_w,cpu_e,ram_e,gpu_e,gpus,phase
2026-05-12T05:09:59.645978+00:00,0.0,0.0,9.509800139305637e-05,2.223734943888884e-05,0.00011201397849999999,0.0,load_model
2026-05-12T05:09:59.646058+00:00,42.5,10.0,9.509800139305637e-05,2.223734943888884e-05,0.00011201397849999999,0.0,load_model
2026-05-12T05:10:07.695169+00:00,0.0,0.0,0.00018966109665277664,4.434684292222231e-05,0.00022269545593399994,0.0,load_model
2026-05-12T05:10:07.695338+00:00,42.5,10.0,0.00018966109665277664,4.434684292222231e-05,0.00022269545593399994,0.0,load_model
2026-05-12T05:10:15.720236+00:00,0.0,0.0,0.0002840145823965275,6.641356562777818e-05,0.00033370915585599886,0.0,load_model
2026-05-12T05:10:15.720330+00:00,42.5,10.0,0.0002840145823965275,6.641356562777818e-05,0.00033370915585599886,0.0,load_model
2026-05-12T05:10:23.751353+00:00,0.0,0.0,0.00037839328425208257,8.848054908888925e-05,0.00044455174453000065,0.0,load_model
2026-05-12T05:10:23.751444+00:00,42.5,10.0,0.00037839328425208257,8.848054908888925e-05,0.00044455174453000065,0.0,load_model
2026-05-12T05:10:31.764870+00:00,0.0,0.0,0.00047257906670763734,0.00011882228965277825,0.0005570298900679999,0.0,load_model
2026-05-12T05:10:31.764958+00:00,42.5,10.75,0.00047257906670763734,0.00011882228965277825,0.0005570298900679999,0.0,load_model
2026-05-12T05:10:39.798745+00:00,0.0,0.0,0.0005670100239069444,0.00016304618246389,0.0006693852577299994,0.0,load_model
2026-05-12T05:10:39.798849+00:00,42.5,12.291666666666666,0.0005670100239069444,0.00016304618246389,0.0006693852577299994,0.0,load_model
2026-05-12T05:10:49.073203+00:00,0.0,0.0,0.0006744989256465275,0.00019417647356944614,0.0008051728663600001,0.0,load_model
2026-05-12T05:10:49.093718+00:00,42.5,12.5,0.0006744989256465275,0.00019417647356944614,0.0008051728663600001,0.0,load_model
2026-05-12T05:10:56.413375+00:00,0.0,0.0,0.0007604523209215264,0.00020864720686944593,0.000906630447526,0.0,load_model
2026-05-12T05:10:56.413473+00:00,42.5,12.1875,0.0007604523209215264,0.00020864720686944593,0.000906630447526,0.0,load_model
2026-05-12T05:11:04.475073+00:00,0.0,0.0,0.0008546995530173589,0.00022387916248055659,0.0010191874820160004,0.0,load_model
2026-05-12T05:11:04.475169+00:00,42.5,11.944444444444445,0.0008546995530173589,0.00022387916248055659,0.0010191874820160004,0.0,load_model
2026-05-12T05:11:12.509947+00:00,0.0,0.0,0.0009490334392368028,0.0002459137932222238,0.001257299061394,0.0,fine_tuning
2026-05-12T05:11:12.510267+00:00,42.5,11.75,0.0009490334392368028,0.0002459137932222238,0.001257299061394,0.0,fine_tuning
2026-05-12T05:11:20.510853+00:00,0.0,0.0,0.0010430681363881934,0.000267934601180558,0.0016296224148080003,0.0,fine_tuning
2026-05-12T05:11:20.511292+00:00,42.5,11.590909090909092,0.0010430681363881934,0.000267934601180558,0.0016296224148080003,0.0,fine_tuning
2026-05-12T05:11:28.514095+00:00,0.0,0.0,0.0011371814888798595,0.00028997201353333585,0.002022936896126,0.0,fine_tuning
2026-05-12T05:11:28.514315+00:00,42.5,11.458333333333334,0.0011371814888798595,0.00028997201353333585,0.002022936896126,0.0,fine_tuning
2026-05-12T05:11:36.519145+00:00,0.0,0.0,0.0012313181244180524,0.00031200981738055796,0.00243434500303,0.0,fine_tuning
2026-05-12T05:11:36.519368+00:00,42.5,11.346153846153847,0.0012313181244180524,0.00031200981738055796,0.00243434500303,0.0,fine_tuning
2026-05-12T05:11:44.523337+00:00,0.0,0.0,0.0013254516277770815,0.0003340088264166691,0.0028149889186560003,0.0,fine_tuning
2026-05-12T05:11:44.523539+00:00,42.5,11.25,0.0013254516277770815,0.0003340088264166691,0.0028149889186560003,0.0,fine_tuning
2026-05-12T05:11:52.525994+00:00,0.0,0.0,0.0014195445229645803,0.00035606370178611376,0.003200896727381999,0.0,fine_tuning
2026-05-12T05:11:52.526260+00:00,42.5,11.166666666666666,0.0014195445229645803,0.00035606370178611376,0.003200896727381999,0.0,fine_tuning
2026-05-12T05:12:00.532043+00:00,0.0,0.0,0.0015136787043284685,0.00037809662838889145,0.0036381001326999994,0.0,fine_tuning
2026-05-12T05:12:00.532253+00:00,42.5,11.09375,0.0015136787043284685,0.00037809662838889145,0.0036381001326999994,0.0,fine_tuning
2026-05-12T05:12:08.535139+00:00,0.0,0.0,0.0016077985403368023,0.0004001424631166697,0.0040592760251959995,0.0,fine_tuning
2026-05-12T05:12:08.535716+00:00,42.5,11.029411764705882,0.0016077985403368023,0.0004001424631166697,0.0040592760251959995,0.0,fine_tuning
2026-05-12T05:12:16.536357+00:00,0.0,0.0,0.0017018815886284664,0.0004221819241305584,0.004482701641713999,0.0,fine_tuning
2026-05-12T05:12:16.536616+00:00,42.5,10.972222222222221,0.0017018815886284664,0.0004221819241305584,0.004482701641713999,0.0,fine_tuning
2026-05-12T05:12:24.550600+00:00,0.0,0.0,0.0017959376552166611,0.00044418415667222546,0.004897652251452,0.0,fine_tuning
2026-05-12T05:12:24.551058+00:00,42.5,10.921052631578947,0.0017959376552166611,0.00044418415667222546,0.004897652251452,0.0,fine_tuning
