timestamp,phase,energy
2026-05-08T19:14:18.480908+00:00,dataset,Measurement(time=3.4646899700164795, gpu_energy={0: 253.4910000000018}, cpu_energy=None, dram_energy=None)
2026-05-08T19:15:00.205904+00:00,load_model,Measurement(time=41.722023248672485, gpu_energy={0: 3107.0600000000013}, cpu_energy=None, dram_energy=None)
2026-05-08T20:13:27.007104+00:00,fine_tuning,Measurement(time=3506.798399925232, gpu_energy={0: 1084837.834}, cpu_energy=None, dram_energy=None)
